MOT_EXISTANT;SYNONYMES_A_AJOUTER
contrat;Accord
alpes;alpin
militaire;Armée
licence;Autorisation
licences;Autorisations
bénéfices;Avantages
avions;Aviation, aérien, aéronautique
administration;Bureaucratie, ministères
rupture;Césure
ruptures;Césures
routiers;Conducteurs
contrôleurs;Contrôle, Contrôleur
contrôle;Contrôleur
covid;Coronavirus
covid19;Coronavirus
corse;Corsica
charges;Cotisations
européenne;europe
européennes;europe
européens;europe
allemagne;germanique,
management;Gestion
mondialisation;Globalisation
hypermarchés;Grande distribution
messagerie;Groupage
grèce;hellenique
hydroxych;hydroxychloroquine
infrastructures;infrastructure
infrastructure;infrastructures
transeuropéens;Intraeuropéen
kondratieﬀ;Kondratiev
axefret;Modèle de dynamique des sytèmes
besoin;Nécessité
routiere;Par route
camions;Poids lourds
tarifs;Prix
problématiqu;Problématique
allègements;reduction
réglementation;Régulation
cerema;Réseau technique du ministère de l’Equipement
axes;Route, voie
simpactransexplo9;Simpactrans
logistique;Supply chain
system;système
systemes;systémique
système;systémique
systèmes;systémique
accises;Taxation, excise, Impôt indirect 
ecotaxe;Taxe environnementale
écotaxe;Taxe environnementale
impots;Taxes
frigorifique;Température dirigée
régionaux;Territoriaux
ferroviaires;Train, rail, chemin de fer
russie;URSS
flottante;Variable
