Date Interrogation,Date Vol,Liaison,Vol,Depart,Arrivee,Light (€),Standard (€),Top (€)
02/08/2026,09/08/2026,NCE-CLY,XK6110,14:15,14:55,247.26,272.26,291.26
02/08/2026,09/08/2026,NCE-CLY,XK311,16:40,17:20,247.26,272.26,291.26
02/08/2026,09/08/2026,MRS-CLY,XK351,09:20,10:20,246.94,271.94,290.94
02/08/2026,09/08/2026,MRS-CLY,XK653,09:55,10:55,246.94,271.94,290.94
02/08/2026,09/08/2026,MRS-CLY,XK353,15:00,16:00,246.94,271.94,290.94
02/08/2026,09/08/2026,MRS-CLY,XK355,18:20,19:20,246.94,271.94,290.94
02/08/2026,09/08/2026,ORY-CLY,XK1300,07:25,09:00,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-CLY,XK1302,12:40,14:15,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-CLY,XK7574,17:35,19:10,391.05,417.05,443.05
02/08/2026,09/08/2026,NCE-FSC,XK403,17:40,18:35,303.26,315.26,334.26
02/08/2026,09/08/2026,NCE-FSC,XK5810,21:00,21:55,247.26,272.26,291.26
02/08/2026,09/08/2026,MRS-FSC,XK457,20:50,22:00,302.94,314.94,333.94
02/08/2026,09/08/2026,CDG-FSC,XK1710,07:05,08:55,323.49,349.49,375.49
02/08/2026,09/08/2026,CDG-FSC,XK1704,17:55,19:50,290.49,316.49,342.49
02/08/2026,09/08/2026,ORY-FSC,XK753,15:40,17:20,391.12,417.12,443.12
02/08/2026,09/08/2026,ORY-FSC,XK1402,17:30,19:15,391.05,417.05,443.05
02/08/2026,09/08/2026,ORY-FSC,XK755,21:00,22:40,391.12,417.12,443.12
02/08/2026,09/08/2026,LYS-BIA,XK233,18:45,19:50,169.12,185.12,211.12
02/08/2026,09/08/2026,NCE-BIA,XK201,12:50,13:40,247.26,272.26,291.26
02/08/2026,09/08/2026,NCE-BIA,XK203,16:50,17:40,303.26,315.26,334.26
02/08/2026,09/08/2026,NCE-BIA,XK205,20:20,21:10,266.26,291.26,311.26
02/08/2026,09/08/2026,MRS-BIA,XK251,08:40,09:30,246.94,271.94,290.94
02/08/2026,09/08/2026,MRS-BIA,XK255,17:30,18:20,302.94,314.94,333.94
02/08/2026,09/08/2026,MRS-BIA,XK257,22:35,23:25,246.94,271.94,290.94
02/08/2026,09/08/2026,ORY-BIA,XK1200,07:00,08:40,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-BIA,XK1206,07:55,09:35,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-BIA,XK1234,09:00,10:40,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-BIA,XK1202,12:20,14:00,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-BIA,XK783,13:25,15:00,326.12,352.12,378.12
02/08/2026,09/08/2026,ORY-BIA,XK7598,17:40,19:20,391.05,417.05,443.05
02/08/2026,09/08/2026,ORY-BIA,XK787,21:50,23:25,391.12,417.12,443.12
02/08/2026,09/08/2026,TLS-AJA,XK721,13:05,14:45,202.22,217.22,242.22
02/08/2026,09/08/2026,LYS-AJA,XK131,14:05,15:05,211.12,225.12,249.12
02/08/2026,09/08/2026,NCE-AJA,XK101,09:00,09:50,247.26,272.26,291.26
02/08/2026,09/08/2026,NCE-AJA,XK103,17:00,17:50,303.26,315.26,334.26
02/08/2026,09/08/2026,NCE-AJA,XK105,20:10,21:00,303.26,315.26,334.26
02/08/2026,09/08/2026,MRS-AJA,XK151,08:50,09:40,265.94,290.94,310.94
02/08/2026,09/08/2026,MRS-AJA,XK157,22:35,23:25,246.94,271.94,290.94
02/08/2026,09/08/2026,ORY-AJA,XK1134,07:00,08:40,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-AJA,XK771,09:35,11:10,326.12,352.12,378.12
02/08/2026,09/08/2026,ORY-AJA,XK5310,10:00,11:35,326.12,352.12,378.12
02/08/2026,09/08/2026,ORY-AJA,XK1100,12:20,14:00,293.05,319.05,345.05
02/08/2026,09/08/2026,ORY-AJA,XK1104,18:00,19:40,391.05,417.05,443.05
02/08/2026,09/08/2026,ORY-AJA,XK775,18:20,19:55,391.12,417.12,443.12
02/08/2026,09/08/2026,ORY-AJA,XK777,21:50,23:25,391.12,417.12,443.12
02/08/2026,09/08/2026,CLY-NCE,XK6100,13:00,13:40,257.2,282.2,301.2
02/08/2026,09/08/2026,CLY-NCE,XK312,15:25,16:05,257.2,282.2,301.2
02/08/2026,09/08/2026,CLY-MRS,XK350,10:50,11:50,257.2,282.2,301.2
02/08/2026,09/08/2026,CLY-MRS,XK652,11:25,12:25,257.2,282.2,301.2
02/08/2026,09/08/2026,CLY-MRS,XK352,13:30,14:30,257.2,282.2,301.2
02/08/2026,09/08/2026,CLY-MRS,XK354,16:30,17:30,257.2,282.2,301.2
02/08/2026,09/08/2026,CLY-ORY,XK1301,09:50,11:30,296.18,322.18,348.18
02/08/2026,09/08/2026,CLY-ORY,XK1303,15:05,16:45,296.18,322.18,348.18
02/08/2026,09/08/2026,CLY-ORY,XK7575,20:00,21:40,296.18,322.18,348.18
02/08/2026,09/08/2026,FSC-NCE,XK408,11:00,12:00,274.84,299.84,319.84
02/08/2026,09/08/2026,FSC-NCE,XK404,15:40,16:40,274.84,299.84,319.84
02/08/2026,09/08/2026,FSC-NCE,XK5800,19:05,20:05,311.84,323.84,342.84
02/08/2026,09/08/2026,FSC-MRS,XK452,07:00,08:15,255.84,280.84,299.84
02/08/2026,09/08/2026,FSC-MRS,XK590,08:10,09:25,311.84,323.84,342.84
02/08/2026,09/08/2026,FSC-CDG,XK1711,09:55,11:50,290.22,316.22,342.22
02/08/2026,09/08/2026,FSC-CDG,XK1705,20:50,22:45,290.22,316.22,342.22
02/08/2026,09/08/2026,FSC-ORY,XK752,13:05,14:50,359.73,385.73,411.73
02/08/2026,09/08/2026,FSC-ORY,XK754,18:10,19:55,359.73,385.73,411.73
02/08/2026,09/08/2026,FSC-ORY,XK1403,20:05,21:55,294.73,320.73,346.73
02/08/2026,09/08/2026,BIA-LYS,XK232,16:55,18:00,164.38,180.38,206.38
02/08/2026,09/08/2026,BIA-NCE,XK202,07:30,08:20,255.87,280.87,299.87
02/08/2026,09/08/2026,BIA-NCE,XK204,15:05,15:55,311.87,323.87,342.87
02/08/2026,09/08/2026,BIA-NCE,XK206,18:30,19:20,311.87,323.87,342.87
02/08/2026,09/08/2026,BIA-MRS,XK250,07:00,07:55,255.87,280.87,299.87
