origin,destination,date,min,max,avg,count
AJA,CDG,2026-08-08,289.92,289.92,289.92,1
AJA,MRS,2026-08-08,255.56,311.56,280.56,1
AJA,NCE,2026-08-08,311.56,311.56,311.56,1
AJA,ORY,2026-08-08,294.43,392.43,314.93,1
AJA,TLS,2026-08-08,206.05,206.05,206.05,1
BIA,LYS,2026-08-08,178.38,178.38,178.38,1
BIA,MRS,2026-08-08,255.87,255.87,255.87,1
BIA,ORY,2026-08-08,294.76,359.76,318.19,1
CDG,AJA,2026-08-08,290.49,290.49,290.49,1
CLY,MRS,2026-08-08,257.2,313.2,285.2,1
CLY,NCE,2026-08-08,313.2,313.2,313.2,1
FSC,NCE,2026-08-08,311.84,311.84,311.84,1
FSC,ORY,2026-08-08,294.73,327.73,307.93,1
MRS,AJA,2026-08-08,246.94,246.94,246.94,1
NCE,AJA,2026-08-08,247.26,303.26,280.01,1
ORY,AJA,2026-08-08,293.05,326.12,305.45,1
AJA,CDG,2026-08-09,195.44,341.46,253.37,5
AJA,LYS,2026-08-09,266.28,333.64,299.96,2
AJA,MRS,2026-08-09,309.07,345.05,332.46,3
AJA,NCE,2026-08-09,320.38,339.88,330.53,3
AJA,ORY,2026-08-09,176.08,269.07,230.54,4
AJA,TLS,2026-08-09,166.01,285.66,244.19,3
BIA,CDG,2026-08-09,233.56,329.85,288.02,4
BIA,LYS,2026-08-09,185.48,293.5,215.26,4
BIA,MRS,2026-08-09,210.12,259.0,234.56,2
BIA,NCE,2026-08-09,208.07,208.07,208.07,1
BIA,ORY,2026-08-09,295.75,346.51,321.13,2
CDG,AJA,2026-08-09,154.54,255.8,205.17,2
CDG,BIA,2026-08-09,203.83,282.76,243.3,2
CDG,CLY,2026-08-09,170.81,323.45,266.21,5
CDG,FSC,2026-08-09,157.05,192.24,174.64,2
CLY,CDG,2026-08-09,186.87,326.67,230.14,4
CLY,MRS,2026-08-09,207.52,317.61,269.01,5
CLY,NCE,2026-08-09,206.24,349.38,254.76,3
CLY,ORY,2026-08-09,152.07,301.8,217.07,3
FSC,CDG,2026-08-09,165.12,326.98,246.05,2
FSC,MRS,2026-08-09,169.51,300.7,232.49,3
FSC,NCE,2026-08-09,199.93,327.04,274.62,3
FSC,ORY,2026-08-09,228.53,348.57,279.0,5
LYS,AJA,2026-08-09,225.78,225.78,225.78,1
LYS,BIA,2026-08-09,309.08,309.08,309.08,1
MRS,AJA,2026-08-09,163.19,326.21,253.27,3
MRS,BIA,2026-08-09,170.66,279.63,238.27,5
MRS,CLY,2026-08-09,196.34,339.67,292.08,5
MRS,FSC,2026-08-09,327.03,327.03,327.03,1
NCE,AJA,2026-08-09,246.31,301.28,274.85,4
NCE,BIA,2026-08-09,168.59,349.18,250.64,4
NCE,CLY,2026-08-09,190.84,283.64,238.67,3
NCE,FSC,2026-08-09,283.29,299.59,291.44,2
ORY,AJA,2026-08-09,151.37,151.37,151.37,1
ORY,BIA,2026-08-09,151.08,320.44,224.62,5
ORY,CLY,2026-08-09,228.01,264.58,238.98,5
ORY,FSC,2026-08-09,243.77,348.44,296.11,2
TLS,AJA,2026-08-09,279.99,279.99,279.99,1
AJA,CDG,2026-08-11,340.38,349.38,344.88,2
AJA,LYS,2026-08-11,160.87,270.45,215.66,2
AJA,MRS,2026-08-11,162.67,337.66,247.33,4
AJA,NCE,2026-08-11,155.93,277.28,207.98,5
AJA,ORY,2026-08-11,162.15,225.62,193.88,2
AJA,TLS,2026-08-11,161.44,348.09,262.88,5
BIA,CDG,2026-08-11,154.29,328.04,220.99,4
BIA,LYS,2026-08-11,177.38,309.44,243.41,2
BIA,MRS,2026-08-11,226.6,347.42,287.01,2
BIA,NCE,2026-08-11,245.94,321.64,283.79,2
BIA,ORY,2026-08-11,176.47,333.76,276.1,3
CDG,AJA,2026-08-11,180.18,180.18,180.18,1
CDG,BIA,2026-08-11,247.99,247.99,247.99,1
CDG,CLY,2026-08-11,279.23,279.23,279.23,1
CDG,FSC,2026-08-11,189.36,263.06,231.81,4
CLY,CDG,2026-08-11,268.21,268.21,268.21,1
CLY,MRS,2026-08-11,186.3,341.34,254.12,4
CLY,NCE,2026-08-11,157.91,338.65,256.33,5
CLY,ORY,2026-08-11,256.57,339.48,295.56,4
FSC,CDG,2026-08-11,203.32,319.54,260.9,5
FSC,MRS,2026-08-11,168.61,321.8,237.88,5
FSC,NCE,2026-08-11,161.12,280.62,227.42,5
FSC,ORY,2026-08-11,178.56,333.41,283.65,4
LYS,AJA,2026-08-11,164.41,317.6,206.71,5
LYS,BIA,2026-08-11,318.65,318.65,318.65,1
MRS,AJA,2026-08-11,330.74,330.74,330.74,1
MRS,BIA,2026-08-11,228.08,300.93,262.32,5
MRS,CLY,2026-08-11,172.61,279.72,208.95,3
MRS,FSC,2026-08-11,157.31,157.31,157.31,1
NCE,AJA,2026-08-11,157.13,188.85,172.99,2
NCE,BIA,2026-08-11,296.91,296.91,296.91,1
NCE,CLY,2026-08-11,159.26,330.71,240.79,4
NCE,FSC,2026-08-11,182.44,309.06,265.78,3
ORY,AJA,2026-08-11,180.31,223.99,199.3,4
ORY,BIA,2026-08-11,217.44,217.44,217.44,1
ORY,CLY,2026-08-11,207.94,207.94,207.94,1
ORY,FSC,2026-08-11,242.26,317.32,279.79,2
TLS,AJA,2026-08-11,298.52,323.53,311.02,2
