date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-09-07;LYS;CLY;J120;2027-01-05;203;;;;EUR
2026-09-07;LYS;CLY;J90;2026-12-06;150;bas;195;465;EUR
2026-09-07;LYS;CLY;J60;2026-11-06;219;normal;180;365;EUR
2026-09-07;LYS;CLY;J30;2026-10-07;288;normal;180;390;EUR
2026-09-07;LYS;CLY;J7;2026-09-14;396;;;;EUR
2026-09-07;CLY;LYS;J120;2027-01-05;195;normal;125;330;EUR
2026-09-07;CLY;LYS;J90;2026-12-06;214;normal;175;375;EUR
2026-09-07;CLY;LYS;J60;2026-11-06;242;normal;145;375;EUR
2026-09-07;CLY;LYS;J30;2026-10-07;373;élevé;185;330;EUR
2026-09-07;CLY;LYS;J7;2026-09-14;393;élevé;185;345;EUR
2026-09-07;NCE;CLY;J120;2027-01-05;123;normal;80;235;EUR
2026-09-07;NCE;CLY;J90;2026-12-06;123;normal;75;255;EUR
2026-09-07;NCE;CLY;J60;2026-11-06;136;normal;75;240;EUR
2026-09-07;NCE;CLY;J30;2026-10-07;149;normal;115;240;EUR
2026-09-07;NCE;CLY;J7;2026-09-14;260;élevé;120;240;EUR
2026-09-07;CLY;NCE;J120;2027-01-05;130;normal;80;250;EUR
2026-09-07;CLY;NCE;J90;2026-12-06;133;normal;80;265;EUR
2026-09-07;CLY;NCE;J60;2026-11-06;133;normal;80;255;EUR
2026-09-07;CLY;NCE;J30;2026-10-07;159;normal;140;250;EUR
2026-09-07;CLY;NCE;J7;2026-09-14;270;élevé;145;240;EUR
2026-09-07;MRS;CLY;J120;2027-01-05;75;bas;80;225;EUR
2026-09-07;MRS;CLY;J90;2026-12-06;76;normal;75;300;EUR
2026-09-07;MRS;CLY;J60;2026-11-06;198;normal;75;255;EUR
2026-09-07;MRS;CLY;J30;2026-10-07;148;normal;115;240;EUR
2026-09-07;MRS;CLY;J7;2026-09-14;259;élevé;135;240;EUR
2026-09-07;CLY;MRS;J120;2027-01-05;133;normal;80;260;EUR
2026-09-07;CLY;MRS;J90;2026-12-06;146;normal;80;275;EUR
2026-09-07;CLY;MRS;J60;2026-11-06;133;normal;80;265;EUR
2026-09-07;CLY;MRS;J30;2026-10-07;159;normal;140;270;EUR
2026-09-07;CLY;MRS;J7;2026-09-14;270;normal;130;270;EUR
2026-09-07;CDG;CLY;J120;2027-01-05;195;normal;175;455;EUR
2026-09-07;CDG;CLY;J90;2026-12-06;195;normal;190;455;EUR
2026-09-07;CDG;CLY;J60;2026-11-06;295;normal;170;350;EUR
2026-09-07;CDG;CLY;J30;2026-10-07;295;normal;190;350;EUR
2026-09-07;CDG;CLY;J7;2026-09-14;377;élevé;195;335;EUR
2026-09-07;CLY;CDG;J120;2027-01-05;222;normal;175;455;EUR
2026-09-07;CLY;CDG;J90;2026-12-06;222;normal;190;455;EUR
2026-09-07;CLY;CDG;J60;2026-11-06;223;normal;170;455;EUR
2026-09-07;CLY;CDG;J30;2026-10-07;195;bas;215;380;EUR
2026-09-07;CLY;CDG;J7;2026-09-14;442;élevé;220;380;EUR
2026-09-07;ORY;CLY;J120;2027-01-05;81;bas;85;260;EUR
2026-09-07;ORY;CLY;J90;2026-12-06;80;;;;EUR
2026-09-07;ORY;CLY;J60;2026-11-06;138;;;;EUR
2026-09-07;ORY;CLY;J30;2026-10-07;154;normal;130;305;EUR
2026-09-07;ORY;CLY;J7;2026-09-14;281;élevé;125;280;EUR
2026-09-07;CLY;ORY;J120;2027-01-05;118;normal;90;290;EUR
2026-09-07;CLY;ORY;J90;2026-12-06;80;;;;EUR
2026-09-07;CLY;ORY;J60;2026-11-06;118;normal;110;260;EUR
2026-09-07;CLY;ORY;J30;2026-10-07;411;élevé;150;350;EUR
2026-09-07;CLY;ORY;J7;2026-09-14;284;normal;175;310;EUR
2026-09-07;TLS;FSC;J120;2027-01-05;163;;;;EUR
2026-09-07;TLS;FSC;J90;2026-12-06;134;bas;135;435;EUR
2026-09-07;TLS;FSC;J60;2026-11-06;134;normal;105;390;EUR
2026-09-07;TLS;FSC;J30;2026-10-07;366;élevé;100;290;EUR
2026-09-07;TLS;FSC;J7;2026-09-14;409;;;;EUR
2026-09-07;FSC;TLS;J120;2027-01-05;266;;;;EUR
2026-09-07;FSC;TLS;J90;2026-12-06;149;normal;145;400;EUR
2026-09-07;FSC;TLS;J60;2026-11-06;181;normal;135;400;EUR
2026-09-07;FSC;TLS;J30;2026-10-07;269;normal;140;370;EUR
2026-09-07;FSC;TLS;J7;2026-09-14;359;normal;210;390;EUR
2026-09-07;LYS;FSC;J120;2027-01-05;203;;;;EUR
2026-09-07;LYS;FSC;J90;2026-12-06;150;normal;145;375;EUR
2026-09-07;LYS;FSC;J60;2026-11-06;151;normal;115;335;EUR
2026-09-07;LYS;FSC;J30;2026-10-07;201;;;;EUR
2026-09-07;LYS;FSC;J7;2026-09-14;49;bas;65;235;EUR
2026-09-07;FSC;LYS;J120;2027-01-05;215;normal;125;295;EUR
2026-09-07;FSC;LYS;J90;2026-12-06;163;normal;160;345;EUR
2026-09-07;FSC;LYS;J60;2026-11-06;190;;;;EUR
2026-09-07;FSC;LYS;J30;2026-10-07;215;;;;EUR
2026-09-07;FSC;LYS;J7;2026-09-14;153;normal;135;330;EUR
2026-09-07;NCE;FSC;J120;2027-01-05;123;normal;80;240;EUR
2026-09-07;NCE;FSC;J90;2026-12-06;123;normal;75;265;EUR
2026-09-07;NCE;FSC;J60;2026-11-06;136;normal;75;245;EUR
2026-09-07;NCE;FSC;J30;2026-10-07;149;normal;110;225;EUR
2026-09-07;NCE;FSC;J7;2026-09-14;260;élevé;130;240;EUR
2026-09-07;FSC;NCE;J120;2027-01-05;128;normal;80;245;EUR
2026-09-07;FSC;NCE;J90;2026-12-06;131;normal;80;255;EUR
2026-09-07;FSC;NCE;J60;2026-11-06;144;normal;80;250;EUR
2026-09-07;FSC;NCE;J30;2026-10-07;157;normal;140;240;EUR
2026-09-07;FSC;NCE;J7;2026-09-14;268;élevé;160;265;EUR
2026-09-07;MRS;FSC;J120;2027-01-05;76;bas;80;245;EUR
2026-09-07;MRS;FSC;J90;2026-12-06;76;bas;90;285;EUR
2026-09-07;MRS;FSC;J60;2026-11-06;122;normal;75;260;EUR
2026-09-07;MRS;FSC;J30;2026-10-07;148;normal;115;240;EUR
2026-09-07;MRS;FSC;J7;2026-09-14;233;normal;120;235;EUR
2026-09-07;FSC;MRS;J120;2027-01-05;80;normal;80;245;EUR
2026-09-07;FSC;MRS;J90;2026-12-06;165;normal;80;260;EUR
2026-09-07;FSC;MRS;J60;2026-11-06;131;normal;80;265;EUR
2026-09-07;FSC;MRS;J30;2026-10-07;157;normal;130;260;EUR
2026-09-07;FSC;MRS;J7;2026-09-14;268;élevé;140;260;EUR
2026-09-07;CDG;FSC;J120;2027-01-05;219;;;;EUR
2026-09-07;CDG;FSC;J90;2026-12-06;195;normal;195;470;EUR
2026-09-07;CDG;FSC;J60;2026-11-06;291;;;;EUR
2026-09-07;CDG;FSC;J30;2026-10-07;219;;;;EUR
2026-09-07;CDG;FSC;J7;2026-09-14;284;normal;75;335;EUR
2026-09-07;FSC;CDG;J120;2027-01-05;189;;;;EUR
2026-09-07;FSC;CDG;J90;2026-12-06;217;;;;EUR
2026-09-07;FSC;CDG;J60;2026-11-06;221;normal;175;465;EUR
2026-09-07;FSC;CDG;J30;2026-10-07;254;normal;135;360;EUR
2026-09-07;FSC;CDG;J7;2026-09-14;281;normal;155;355;EUR
2026-09-07;ORY;FSC;J120;2027-01-05;81;bas;110;260;EUR
2026-09-07;ORY;FSC;J90;2026-12-06;80;;;;EUR
2026-09-07;ORY;FSC;J60;2026-11-06;81;bas;105;255;EUR
2026-09-07;ORY;FSC;J30;2026-10-07;154;normal;125;280;EUR
2026-09-07;ORY;FSC;J7;2026-09-14;281;élevé;135;280;EUR
2026-09-07;FSC;ORY;J120;2027-01-05;155;normal;115;260;EUR
2026-09-07;FSC;ORY;J90;2026-12-06;80;;;;EUR
2026-09-07;FSC;ORY;J60;2026-11-06;81;bas;120;325;EUR
2026-09-07;FSC;ORY;J30;2026-10-07;155;normal;125;295;EUR
2026-09-07;FSC;ORY;J7;2026-09-14;285;normal;170;345;EUR
2026-09-07;TLS;BIA;J120;2027-01-05;50;bas;110;225;EUR
2026-09-07;TLS;BIA;J90;2026-12-06;90;bas;105;360;EUR
2026-09-07;TLS;BIA;J60;2026-11-06;146;normal;95;360;EUR
2026-09-07;TLS;BIA;J30;2026-10-07;158;normal;115;245;EUR
2026-09-07;TLS;BIA;J7;2026-09-14;203;normal;125;250;EUR
2026-09-07;BIA;TLS;J120;2027-01-05;67;bas;120;260;EUR
2026-09-07;BIA;TLS;J90;2026-12-06;92;bas;110;370;EUR
2026-09-07;BIA;TLS;J60;2026-11-06;150;normal;105;370;EUR
2026-09-07;BIA;TLS;J30;2026-10-07;234;;;;EUR
2026-09-07;BIA;TLS;J7;2026-09-14;149;normal;135;295;EUR
2026-09-07;LYS;BIA;J120;2027-01-05;208;normal;90;220;EUR
2026-09-07;LYS;BIA;J90;2026-12-06;150;normal;50;310;EUR
2026-09-07;LYS;BIA;J60;2026-11-06;105;normal;30;245;EUR
2026-09-07;LYS;BIA;J30;2026-10-07;93;normal;40;175;EUR
2026-09-07;LYS;BIA;J7;2026-09-14;66;normal;45;180;EUR
2026-09-07;BIA;LYS;J120;2027-01-05;163;normal;115;240;EUR
2026-09-07;BIA;LYS;J90;2026-12-06;163;normal;45;290;EUR
2026-09-07;BIA;LYS;J60;2026-11-06;114;normal;45;285;EUR
2026-09-07;BIA;LYS;J30;2026-10-07;114;normal;50;205;EUR
2026-09-07;BIA;LYS;J7;2026-09-14;93;normal;70;215;EUR
2026-09-07;NCE;BIA;J120;2027-01-05;123;normal;80;240;EUR
2026-09-07;NCE;BIA;J90;2026-12-06;78;bas;115;265;EUR
2026-09-07;NCE;BIA;J60;2026-11-06;78;normal;75;255;EUR
2026-09-07;NCE;BIA;J30;2026-10-07;149;normal;75;225;EUR
2026-09-07;NCE;BIA;J7;2026-09-14;260;élevé;115;205;EUR
2026-09-07;BIA;NCE;J120;2027-01-05;131;normal;80;245;EUR
2026-09-07;BIA;NCE;J90;2026-12-06;131;normal;80;265;EUR
2026-09-07;BIA;NCE;J60;2026-11-06;131;normal;80;250;EUR
2026-09-07;BIA;NCE;J30;2026-10-07;157;normal;125;235;EUR
2026-09-07;BIA;NCE;J7;2026-09-14;262;élevé;130;235;EUR
2026-09-07;MRS;BIA;J120;2027-01-05;76;bas;80;220;EUR
2026-09-07;MRS;BIA;J90;2026-12-06;122;normal;75;245;EUR
2026-09-07;MRS;BIA;J60;2026-11-06;122;normal;75;240;EUR
2026-09-07;MRS;BIA;J30;2026-10-07;148;normal;75;220;EUR
2026-09-07;MRS;BIA;J7;2026-09-14;233;élevé;75;210;EUR
2026-09-07;BIA;MRS;J120;2027-01-05;80;normal;80;230;EUR
2026-09-07;BIA;MRS;J90;2026-12-06;131;normal;80;250;EUR
2026-09-07;BIA;MRS;J60;2026-11-06;80;normal;80;250;EUR
2026-09-07;BIA;MRS;J30;2026-10-07;157;normal;80;250;EUR
2026-09-07;BIA;MRS;J7;2026-09-14;247;élevé;75;245;EUR
2026-09-07;CDG;BIA;J120;2027-01-05;195;normal;175;455;EUR
2026-09-07;CDG;BIA;J90;2026-12-06;219;;;;EUR
2026-09-07;CDG;BIA;J60;2026-11-06;223;normal;175;370;EUR
2026-09-07;CDG;BIA;J30;2026-10-07;148;normal;140;355;EUR
2026-09-07;CDG;BIA;J7;2026-09-14;162;normal;140;270;EUR
2026-09-07;BIA;CDG;J120;2027-01-05;193;normal;170;455;EUR
2026-09-07;BIA;CDG;J90;2026-12-06;217;;;;EUR
2026-09-07;BIA;CDG;J60;2026-11-06;193;normal;170;385;EUR
2026-09-07;BIA;CDG;J30;2026-10-07;189;;;;EUR
2026-09-07;BIA;CDG;J7;2026-09-14;281;normal;140;320;EUR
2026-09-07;ORY;BIA;J120;2027-01-05;81;bas;85;260;EUR
2026-09-07;ORY;BIA;J90;2026-12-06;80;;;;EUR
2026-09-07;ORY;BIA;J60;2026-11-06;81;bas;105;255;EUR
2026-09-07;ORY;BIA;J30;2026-10-07;154;normal;115;280;EUR
2026-09-07;ORY;BIA;J7;2026-09-14;281;élevé;110;280;EUR
2026-09-07;BIA;ORY;J120;2027-01-05;81;bas;110;260;EUR
2026-09-07;BIA;ORY;J90;2026-12-06;81;bas;110;270;EUR
2026-09-07;BIA;ORY;J60;2026-11-06;81;bas;120;255;EUR
2026-09-07;BIA;ORY;J30;2026-10-07;155;normal;115;280;EUR
