origin,destination,date,min,max,avg,count
AJA,ORY,2026-08-09,176.08,269.07,230.54,4
AJA,CDG,2026-08-09,195.44,341.46,253.37,5
AJA,MRS,2026-08-09,309.07,345.05,332.46,3
AJA,NCE,2026-08-09,320.38,339.88,330.53,3
AJA,LYS,2026-08-09,266.28,333.64,299.96,2
AJA,TLS,2026-08-09,166.01,285.66,244.19,3
BIA,ORY,2026-08-09,295.75,346.51,321.13,2
BIA,CDG,2026-08-09,233.56,329.85,288.02,4
BIA,MRS,2026-08-09,210.12,259.0,234.56,2
BIA,NCE,2026-08-09,208.07,208.07,208.07,1
BIA,LYS,2026-08-09,185.48,293.5,215.26,4
FSC,ORY,2026-08-09,228.53,348.57,279.0,5
FSC,CDG,2026-08-09,165.12,326.98,246.05,2
FSC,MRS,2026-08-09,169.51,300.7,232.49,3
FSC,NCE,2026-08-09,199.93,327.04,274.62,3
CLY,ORY,2026-08-09,152.07,301.8,217.07,3
CLY,CDG,2026-08-09,186.87,326.67,230.14,4
CLY,MRS,2026-08-09,207.52,317.61,269.01,5
CLY,NCE,2026-08-09,206.24,349.38,254.76,3
ORY,AJA,2026-08-09,151.37,151.37,151.37,1
CDG,AJA,2026-08-09,154.54,255.8,205.17,2
MRS,AJA,2026-08-09,163.19,326.21,253.27,3
NCE,AJA,2026-08-09,246.31,301.28,274.85,4
LYS,AJA,2026-08-09,225.78,225.78,225.78,1
TLS,AJA,2026-08-09,279.99,279.99,279.99,1
ORY,BIA,2026-08-09,151.08,320.44,224.62,5
CDG,BIA,2026-08-09,203.83,282.76,243.3,2
MRS,BIA,2026-08-09,170.66,279.63,238.27,5
NCE,BIA,2026-08-09,168.59,349.18,250.64,4
LYS,BIA,2026-08-09,309.08,309.08,309.08,1
ORY,FSC,2026-08-09,243.77,348.44,296.11,2
CDG,FSC,2026-08-09,157.05,192.24,174.64,2
MRS,FSC,2026-08-09,327.03,327.03,327.03,1
NCE,FSC,2026-08-09,283.29,299.59,291.44,2
ORY,CLY,2026-08-09,228.01,264.58,238.98,5
CDG,CLY,2026-08-09,170.81,323.45,266.21,5
MRS,CLY,2026-08-09,196.34,339.67,292.08,5
NCE,CLY,2026-08-09,190.84,283.64,238.67,3
