Date Interrogation,Date Vol,Liaison,Prix Min Light (€),Prix Max Light (€),Moyenne Light (€)
02/08/2026,09/08/2026,NCE-CLY,247.26,247.26,247.26
02/08/2026,09/08/2026,MRS-CLY,246.94,246.94,246.94
02/08/2026,09/08/2026,ORY-CLY,293.05,391.05,325.72
02/08/2026,09/08/2026,NCE-FSC,247.26,303.26,275.26
02/08/2026,09/08/2026,MRS-FSC,302.94,302.94,302.94
02/08/2026,09/08/2026,CDG-FSC,290.49,323.49,306.99
02/08/2026,09/08/2026,ORY-FSC,391.05,391.12,391.1
02/08/2026,09/08/2026,LYS-BIA,169.12,169.12,169.12
02/08/2026,09/08/2026,NCE-BIA,247.26,303.26,272.26
02/08/2026,09/08/2026,MRS-BIA,246.94,302.94,265.61
02/08/2026,09/08/2026,ORY-BIA,293.05,391.12,325.78
02/08/2026,09/08/2026,TLS-AJA,202.22,202.22,202.22
02/08/2026,09/08/2026,LYS-AJA,211.12,211.12,211.12
02/08/2026,09/08/2026,NCE-AJA,247.26,303.26,284.59
02/08/2026,09/08/2026,MRS-AJA,246.94,265.94,256.44
02/08/2026,09/08/2026,ORY-AJA,293.05,391.12,344.52
02/08/2026,09/08/2026,CLY-NCE,257.2,257.2,257.2
02/08/2026,09/08/2026,CLY-MRS,257.2,257.2,257.2
02/08/2026,09/08/2026,CLY-ORY,296.18,296.18,296.18
02/08/2026,09/08/2026,FSC-NCE,274.84,311.84,287.17
02/08/2026,09/08/2026,FSC-MRS,255.84,311.84,283.84
02/08/2026,09/08/2026,FSC-CDG,290.22,290.22,290.22
02/08/2026,09/08/2026,FSC-ORY,294.73,359.73,338.06
02/08/2026,09/08/2026,BIA-LYS,164.38,164.38,164.38
02/08/2026,09/08/2026,BIA-NCE,255.87,311.87,293.2
02/08/2026,09/08/2026,BIA-MRS,255.87,311.87,274.54
02/08/2026,09/08/2026,BIA-CDG,290.25,290.25,290.25
02/08/2026,09/08/2026,BIA-ORY,294.76,327.76,305.76
02/08/2026,09/08/2026,AJA-TLS,248.05,248.05,248.05
02/08/2026,09/08/2026,AJA-LYS,164.05,164.05,164.05
02/08/2026,09/08/2026,AJA-MRS,255.56,255.56,255.56
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-MRS,255.56,255.56,255.56
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,BIA-CDG,290.25,290.25,290.25
02/08/2026,09/08/2026,BIA-ORY,294.76,327.76,305.76
02/08/2026,09/08/2026,AJA-TLS,248.05,248.05,248.05
02/08/2026,09/08/2026,AJA-LYS,164.05,164.05,164.05
02/08/2026,09/08/2026,AJA-NCE,255.56,311.56,292.89
02/08/2026,09/08/2026,AJA-MRS,255.56,255.56,255.56
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-LYS,164.05,164.05,164.05
02/08/2026,09/08/2026,AJA-NCE,255.56,311.56,292.89
02/08/2026,09/08/2026,AJA-MRS,255.56,255.56,255.56
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
02/08/2026,09/08/2026,AJA-ORY,294.43,392.43,322.57
01/08/2026,08/08/2026,NCE-AJA,247.26,303.26,280.01
01/08/2026,08/08/2026,MRS-AJA,246.94,246.94,246.94
01/08/2026,08/08/2026,CDG-AJA,290.49,290.49,290.49
01/08/2026,08/08/2026,ORY-AJA,293.05,326.12,305.45
01/08/2026,08/08/2026,CLY-NCE,313.2,313.2,313.2
01/08/2026,08/08/2026,CLY-MRS,257.2,313.2,285.2
01/08/2026,08/08/2026,FSC-NCE,311.84,311.84,311.84
01/08/2026,08/08/2026,FSC-ORY,294.73,327.73,307.93
01/08/2026,08/08/2026,BIA-LYS,178.38,178.38,178.38
01/08/2026,08/08/2026,BIA-MRS,255.87,255.87,255.87
01/08/2026,08/08/2026,BIA-ORY,294.76,359.76,318.19
01/08/2026,08/08/2026,AJA-TLS,206.05,206.05,206.05
01/08/2026,08/08/2026,AJA-MRS,255.56,311.56,280.56
01/08/2026,08/08/2026,AJA-CDG,289.92,289.92,289.92
01/08/2026,08/08/2026,AJA-ORY,294.43,392.43,314.93
01/08/2026,08/08/2026,AJA-MRS,255.56,311.56,280.56
01/08/2026,08/08/2026,AJA-CDG,289.92,289.92,289.92
01/08/2026,08/08/2026,AJA-ORY,294.43,392.43,314.93
01/08/2026,08/08/2026,AJA-NCE,311.56,311.56,311.56
01/08/2026,08/08/2026,AJA-CDG,289.92,289.92,289.92
01/08/2026,08/08/2026,AJA-ORY,294.43,392.43,314.93
