Date Interrogation;Date Vol;Liaison;Prix Min Light (€);Prix Max Light (€);Moyenne Light (€)
Dimanche 2 août 2026;Dimanche 9 août 2026;NCE-CLY;247,26;247,26;247,26
Dimanche 2 août 2026;Dimanche 9 août 2026;MRS-CLY;246,94;246,94;246,94
Dimanche 2 août 2026;Dimanche 9 août 2026;ORY-CLY;293,05;391,05;325,72
Dimanche 2 août 2026;Dimanche 9 août 2026;NCE-FSC;247,26;303,26;275,26
Dimanche 2 août 2026;Dimanche 9 août 2026;MRS-FSC;302,94;302,94;302,94
Dimanche 2 août 2026;Dimanche 9 août 2026;CDG-FSC;290,49;323,49;306,99
Dimanche 2 août 2026;Dimanche 9 août 2026;ORY-FSC;391,05;391,12;391,10
Dimanche 2 août 2026;Dimanche 9 août 2026;LYS-BIA;169,12;169,12;169,12
Dimanche 2 août 2026;Dimanche 9 août 2026;NCE-BIA;247,26;303,26;272,26
Dimanche 2 août 2026;Dimanche 9 août 2026;MRS-BIA;246,94;302,94;265,61
Dimanche 2 août 2026;Dimanche 9 août 2026;ORY-BIA;293,05;391,12;325,78
Dimanche 2 août 2026;Dimanche 9 août 2026;TLS-AJA;202,22;202,22;202,22
Dimanche 2 août 2026;Dimanche 9 août 2026;LYS-AJA;211,12;211,12;211,12
Dimanche 2 août 2026;Dimanche 9 août 2026;NCE-AJA;247,26;303,26;284,59
Dimanche 2 août 2026;Dimanche 9 août 2026;MRS-AJA;246,94;265,94;256,44
Dimanche 2 août 2026;Dimanche 9 août 2026;ORY-AJA;293,05;391,12;344,52
Dimanche 2 août 2026;Dimanche 9 août 2026;CLY-NCE;257,20;257,20;257,20
Dimanche 2 août 2026;Dimanche 9 août 2026;CLY-MRS;257,20;257,20;257,20
Dimanche 2 août 2026;Dimanche 9 août 2026;CLY-ORY;296,18;296,18;296,18
Dimanche 2 août 2026;Dimanche 9 août 2026;FSC-NCE;274,84;311,84;287,17
Dimanche 2 août 2026;Dimanche 9 août 2026;FSC-MRS;255,84;311,84;283,84
Dimanche 2 août 2026;Dimanche 9 août 2026;FSC-CDG;290,22;290,22;290,22
Dimanche 2 août 2026;Dimanche 9 août 2026;FSC-ORY;294,73;359,73;338,06
Dimanche 2 août 2026;Dimanche 9 août 2026;BIA-LYS;164,38;164,38;164,38
Dimanche 2 août 2026;Dimanche 9 août 2026;BIA-NCE;255,87;311,87;293,20
